name,passmark,rank,value,price
GeForce GTX 670,5367,103,11.30,474.99
GeForce GTX 670M,1939,286,NA,
GeForce GTX 670MX,2075,265,NA,
GeForce GTX 675M,2144,261,NA,
GeForce GTX 675MX,2405,233,NA,
GeForce GTX 680,5671,92,9.78,579.99
GeForce GTX 680M,3349,180,6.70,499.99
GeForce GTX 680MX,4274,141,NA,
GeForce GTX 690,5384,101,5.39,999.0
GeForce GTX 745,2182,257,NA,
GeForce GTX 750,3311,181,21.93,150.99
GeForce GTX 750 Ti,3745,160,12.53,299.01
GeForce GTX 760,4939,114,19.76,249.99
GeForce GTX 760 Ti,5119,107,17.21,297.5
GeForce GTX 760A,1281,391,NA,
GeForce GTX 760M,1433,356,NA,
GeForce GTX 765M,1884,293,NA,
GeForce GTX 770,6071,83,13.49,449.99
GeForce GTX 770M,2653,221,14.91,177.99
GeForce GTX 775M,4180,144,NA,
GeForce GTX 780,7961,61,10.74,740.99
GeForce GTX 780 Ti,8889,49,11.85,749.99
GeForce GTX 780M,4015,150,NA,
GeForce GTX 850A,802,605,NA,
GeForce GTX 850M,1602,331,NA,
GeForce GTX 860M,1912,291,NA,
GeForce GTX 870M,2414,231,NA,
GeForce GTX 880M,3689,161,NA,
GeForce GTX 950,5225,105,26.87,194.44
GeForce GTX 950A,1654,319,NA,
GeForce GTX 950M,1874,294,NA,
GeForce GTX 960,5810,89,25.27,229.99
GeForce GTX 960A,2358,235,NA,
GeForce GTX 960M,2299,239,NA,
GeForce GTX 965M,3191,186,NA,
GeForce GTX 970,8615,52,21.13,407.76
GeForce GTX 970M,4154,146,2.19,1899.0
GeForce GTX 980,9626,38,15.77,610.38
GeForce GTX 980 Ti,11374,23,21.39,531.82
GeForce GTX 980M,5925,86,NA,
GeForce GTX Titan,7934,62,3.86,2054.59
GeForce GTX TITAN Black,8617,51,8.62,999.99
GeForce GTX TITAN X,10686,28,5.34,1999.99
GeForce GTX TITAN Z,7693,67,4.87,1580.0
GeForce MX110,1592,334,NA,
GeForce MX130,1923,290,NA,
GeForce MX150,2159,258,NA,
GeForce PCX 5300,6,1555,NA,
GeForce PCX 5750,34,1443,NA,
GeForce RTX 2060,13155,15,37.59,349.99
GeForce RTX 2070,14404,8,28.81,499.99
GeForce RTX 2080,15712,5,22.45,699.99
GeForce RTX 2080 Ti,16953,4,14.25,1189.99
GeForce RTX 2080 with Max-Q Design,13423,13,NA,
GeForce2 GTS/GeForce2 Pro,3,1606,NA,
GeForce2 Integrated GPU,4,1593,NA,
GeForce2 MX,2,1644,NA,
GeForce2 MX 100/200,3,1629,NA,
GeForce2 MX/MX 400,3,1609,NA,
GeForce2 Ti,4,1587,NA,
GeForce3,4,1581,NA,
GeForce3 Ti 200,4,1602,NA,
GeForce3 Ti 500,2,1651,NA,
GeForce4 420 Go,3,1626,NA,
GeForce4 420 Go 32M,5,1575,NA,
GeForce4 4200 Go,3,1607,NA,
GeForce4 440 Go,3,1616,NA,
GeForce4 440 Go 64M,5,1559,NA,
GeForce4 448 Go,5,1569,NA,
GeForce4 460 Go --MobileForce M4 Stock--,5,1561,NA,
GeForce4 MX 4000,4,1591,NA,
GeForce4 MX 420,4,1582,NA,
GeForce4 MX 440,4,1592,NA,
GeForce4 MX 440 with AGP8X,4,1583,NA,
GeForce4 MX 440SE,4,1589,NA,
GeForce4 MX 460,4,1598,NA,
GeForce4 MX Integrated GPU,6,1551,NA,
GeForce4 Ti 4200,5,1571,NA,
GeForce4 Ti 4400,7,1544,NA,
GeForce4 Ti 4600,5,1570,0.10,53.99
GeForce4 Ti 4800 SE,7,1543,NA,
GeForce9400M,105,1237,NA,
GF117,554,848,NA,
GIGABYTE RADEON 9600 PRO,39,1427,NA,
GRID K1,880,563,0.86,1028.0
GRID K120Q,298,1027,NA,
GRID K140Q,727,671,NA,
GRID K160Q,701,698,NA,
GRID K180Q,778,623,NA,
GRID K2,3772,159,3.21,1177.0
GRID K220Q,912,548,NA,
GRID K240Q,2143,262,NA,
GRID K260Q,2940,206,NA,
GRID K280Q,2322,238,NA,
GRID K520,4384,133,NA,
GRID M60-1Q,4680,119,NA,
GRID M60-2Q,5904,87,NA,
GRID M60-4Q,3291,183,NA,
GRID M60-8Q,3883,155,NA,
GRID P6-4Q,4429,129,NA,
HD6450,227,1080,NA,
Intel - Express Chipset G41,57,1372,NA,
Intel - Express Chipset Q45/Q43,57,1371,NA,
Intel 4th Generation Haswell HD,419,951,NA,
Intel 82845G Controller,2,1654,NA,
Intel 82845G/GL Controller,2,1646,NA,
Intel 82845G/GL/GE/PE/GV Controller,2,1638,NA,
Intel 82865G Controller,4,1584,NA,
Intel 82915G Express,5,1565,NA,
Intel 82915G/GV/910GL Express,3,1633,NA,
